,file path,scan results,concluded results
0,linux-master/.rustfmt.toml,No_license_found,
1,linux-master/README,No_license_found,
2,linux-master/Makefile,GPL-2.0-only,
3,linux-master/MAINTAINERS,No_license_found,
4,linux-master/.mailmap,No_license_found,
5,linux-master/Kconfig,GPL-2.0-only,
6,linux-master/Kbuild,GPL-2.0-only,
7,linux-master/.gitignore,GPL-2.0-only,
8,linux-master/.gitattributes,GPL-2.0-only,
9,linux-master/.get_maintainer.ignore,No_license_found,
10,linux-master/CREDITS,GPL,
11,linux-master/COPYING,GPL-2.0-only Linux-syscall-note,
12,linux-master/.cocciconfig,No_license_found,
13,linux-master/.clang-format,GPL-2.0-only,
14,linux-master/virt/Makefile,GPL-2.0-only,
15,linux-master/virt/lib/Makefile,GPL-2.0-only,
16,linux-master/virt/lib/Kconfig,GPL-2.0-only,
17,linux-master/virt/lib/irqbypass.c,GPL-2.0-only,
18,linux-master/virt/lib,,
19,linux-master/virt/kvm/vfio.h,GPL-2.0-only,
20,linux-master/virt/kvm/vfio.c,GPL-2.0-only,
21,linux-master/virt/kvm/pfncache.c,GPL-2.0-only,
22,linux-master/virt/kvm/Makefile.kvm,GPL-2.0-only,
23,linux-master/virt/kvm/kvm_mm.h,GPL-2.0-only,
24,linux-master/virt/kvm/kvm_main.c,GPL-2.0-only,
25,linux-master/virt/kvm/Kconfig,GPL-2.0-only,
26,linux-master/virt/kvm/irqchip.c,GPL-2.0-only,
27,linux-master/virt/kvm/eventfd.c,GPL-2.0-only,
28,linux-master/virt/kvm/dirty_ring.c,GPL-2.0-only,
29,linux-master/virt/kvm/coalesced_mmio.h,GPL-2.0-only,
30,linux-master/virt/kvm/coalesced_mmio.c,GPL-2.0-only,
31,linux-master/virt/kvm/binary_stats.c,GPL-2.0-only,
32,linux-master/virt/kvm/async_pf.h,GPL-2.0-only,
33,linux-master/virt/kvm/async_pf.c,GPL-2.0-only,
34,linux-master/virt/kvm,,
35,linux-master/virt,,
36,linux-master/usr/Makefile,GPL-2.0-only,
37,linux-master/usr/Kconfig,GPL-2.0-only,
38,linux-master/usr/initramfs_data.S,GPL-2.0-only,
39,linux-master/usr/.gitignore,GPL-2.0-only,
40,linux-master/usr/gen_initramfs.sh,GPL,
41,linux-master/usr/gen_init_cpio.c,GPL-2.0-only,
42,linux-master/usr/default_cpio_list,GPL-2.0-only,
43,linux-master/usr/include/Makefile,GPL-2.0-only,
44,linux-master/usr/include/headers_check.pl,GPL-2.0-only,
45,linux-master/usr/include/.gitignore,GPL-2.0-only,
46,linux-master/usr/include,,
47,linux-master/usr/dummy-include/stdlib.h,GPL-2.0-only,
48,linux-master/usr/dummy-include/stdbool.h,GPL-2.0-only,
49,linux-master/usr/dummy-include,,
50,linux-master/usr,,
51,linux-master/tools/Makefile,GPL-2.0-only,
52,linux-master/tools/wmi/Makefile,GPL-2.0-only,
53,linux-master/tools/wmi/dell-smbios-example.c,GPL-2.0-only,
54,linux-master/tools/wmi,,
55,linux-master/tools/virtio/vringh_test.c,GPL-2.0-only,
56,linux-master/tools/virtio/virtio_test.c,GPL-2.0-only,
57,linux-master/tools/virtio/Makefile,GPL-2.0-only,
58,linux-master/tools/virtio/.gitignore,GPL-2.0-only,
59,linux-master/tools/virtio/xen/xen.h,No_license_found,
60,linux-master/tools/virtio/xen,,
61,linux-master/tools/virtio/virtio-trace/trace-agent-rw.c,GPL-2.0-only,
62,linux-master/tools/virtio/virtio-trace/trace-agent.h,GPL-2.0-only,
63,linux-master/tools/virtio/virtio-trace/trace-agent-ctl.c,GPL-2.0-only,
64,linux-master/tools/virtio/virtio-trace/trace-agent.c,GPL-2.0-only,
65,linux-master/tools/virtio/virtio-trace/README,No_license_found,
66,linux-master/tools/virtio/virtio-trace/Makefile,GPL-2.0-only,
67,linux-master/tools/virtio/virtio-trace,,
68,linux-master/tools/virtio/vhost_test/vhost_test.c,No_license_found,
69,linux-master/tools/virtio/vhost_test/Makefile,GPL-2.0-only,
70,linux-master/tools/virtio/vhost_test,,
71,linux-master/tools/virtio/uapi/linux/virtio_types.h,No_license_found,
72,linux-master/tools/virtio/uapi/linux/virtio_ring.h,GPL-2.0-only,
73,linux-master/tools/virtio/uapi/linux/virtio_config.h,No_license_found,
74,linux-master/tools/virtio/uapi/linux/uio.h,No_license_found,
75,linux-master/tools/virtio/uapi/linux,,
76,linux-master/tools/virtio/uapi,,
77,linux-master/tools/virtio/ringtest/virtio_ring_poll.c,No_license_found,
78,linux-master/tools/virtio/ringtest/virtio_ring_inorder.c,No_license_found,
79,linux-master/tools/virtio/ringtest/virtio_ring_0_9.c,GPL-2.0-only,
80,linux-master/tools/virtio/ringtest/run-on-all.sh,GPL-2.0-only,
81,linux-master/tools/virtio/ringtest/ring.c,GPL-2.0-only,
82,linux-master/tools/virtio/ringtest/README,No_license_found,
83,linux-master/tools/virtio/ringtest/ptr_ring.c,GPL-2.0-only,
84,linux-master/tools/virtio/ringtest/noring.c,GPL-2.0-only,
85,linux-master/tools/virtio/ringtest/Makefile,GPL-2.0-only,
86,linux-master/tools/virtio/ringtest/main.h,GPL-2.0-only,
87,linux-master/tools/virtio/ringtest/main.c,GPL-2.0-only,
88,linux-master/tools/virtio/ringtest/.gitignore,GPL-2.0-only,
89,linux-master/tools/virtio/ringtest,,
90,linux-master/tools/virtio/linux/vringh.h,No_license_found,
91,linux-master/tools/virtio/linux/virtio_ring.h,No_license_found,
92,linux-master/tools/virtio/linux/virtio.h,GPL-2.0-only,
93,linux-master/tools/virtio/linux/virtio_config.h,GPL-2.0-only,
94,linux-master/tools/virtio/linux/virtio_byteorder.h,GPL-2.0-only,
95,linux-master/tools/virtio/linux/uio.h,No_license_found,
96,linux-master/tools/virtio/linux/uaccess.h,GPL-2.0-only,
97,linux-master/tools/virtio/linux/topology.h,GPL-2.0-only,
98,linux-master/tools/virtio/linux/thread_info.h,No_license_found,
99,linux-master/tools/virtio/linux/spinlock.h,No_license_found,
100,linux-master/tools/virtio/linux/slab.h,GPL-2.0-only,
101,linux-master/tools/virtio/linux/scatterlist.h,GPL-2.0-only,
102,linux-master/tools/virtio/linux/ratelimit.h,No_license_found,
103,linux-master/tools/virtio/linux/printk.h,No_license_found,
104,linux-master/tools/virtio/linux/module.h,GPL-2.0-only,
105,linux-master/tools/virtio/linux/mm_types.h,No_license_found,
106,linux-master/tools/virtio/linux/kmsan.h,GPL-2.0-only,
107,linux-master/tools/virtio/linux/kmemleak.h,No_license_found,
108,linux-master/tools/virtio/linux/kernel.h,GPL-2.0-only,
109,linux-master/tools/virtio/linux/irqreturn.h,No_license_found,
110,linux-master/tools/virtio/linux/hrtimer.h,No_license_found,
111,linux-master/tools/virtio/linux/gfp.h,GPL-2.0-only,
112,linux-master/tools/virtio/linux/export.h,No_license_found,
113,linux-master/tools/virtio/linux/err.h,GPL-2.0-only,
114,linux-master/tools/virtio/linux/dma-mapping.h,GPL-2.0-only,
115,linux-master/tools/virtio/linux/device.h,No_license_found,
116,linux-master/tools/virtio/linux/cpumask.h,GPL-2.0-only,
117,linux-master/tools/virtio/linux/compiler.h,GPL-2.0-only,
118,linux-master/tools/virtio/linux/build_bug.h,GPL-2.0-only,
119,linux-master/tools/virtio/linux/bug.h,GPL-2.0-only,
120,linux-master/tools/virtio/linux,,
121,linux-master/tools/virtio/generated/autoconf.h,No_license_found,
122,linux-master/tools/virtio/generated,,
123,linux-master/tools/virtio/crypto/hash.h,No_license_found,
124,linux-master/tools/virtio/crypto,,
125,linux-master/tools/virtio/asm/barrier.h,GPL-2.0-only,
126,linux-master/tools/virtio/asm,,
127,linux-master/tools/virtio,,
128,linux-master/tools/verification/rv/README.txt,No_license_found,
129,linux-master/tools/verification/rv/Makefile,No_license_found,
130,linux-master/tools/verification/rv/src/utils.c,GPL-2.0-only,
131,linux-master/tools/verification/rv/src/trace.c,GPL-2.0-only,
132,linux-master/tools/verification/rv/src/rv.c,GPL-2.0-only,
133,linux-master/tools/verification/rv/src/in_kernel.c,GPL-2.0-only,
134,linux-master/tools/verification/rv/src,,
135,linux-master/tools/verification/rv/include/utils.h,GPL-2.0-only,
136,linux-master/tools/verification/rv/include/trace.h,GPL-2.0-only,
137,linux-master/tools/verification/rv/include/rv.h,GPL-2.0-only,
138,linux-master/tools/verification/rv/include/in_kernel.h,GPL-2.0-only,
139,linux-master/tools/verification/rv/include,,
140,linux-master/tools/verification/rv,,
141,linux-master/tools/verification/models/wwnr.dot,No_license_found,
142,linux-master/tools/verification/models/wip.dot,No_license_found,
143,linux-master/tools/verification/models,,
144,linux-master/tools/verification/dot2/Makefile,No_license_found,
145,linux-master/tools/verification/dot2/dot2k.py,GPL-2.0-only,
146,linux-master/tools/verification/dot2/dot2k,GPL-2.0-only,
147,linux-master/tools/verification/dot2/dot2c.py,GPL-2.0-only,
148,linux-master/tools/verification/dot2/dot2c,GPL-2.0-only,
149,linux-master/tools/verification/dot2/automata.py,GPL-2.0-only,
150,linux-master/tools/verification/dot2/dot2k_templates/main_per_task.c,GPL-2.0-only,
151,linux-master/tools/verification/dot2/dot2k_templates/main_per_cpu.c,GPL-2.0-only,
152,linux-master/tools/verification/dot2/dot2k_templates/main_global.c,GPL-2.0-only,
153,linux-master/tools/verification/dot2/dot2k_templates,,
154,linux-master/tools/verification/dot2,,
155,linux-master/tools/verification,,
156,linux-master/tools/usb/testusb.c,GPL-2.0-or-later,
157,linux-master/tools/usb/Makefile,GPL-2.0-only,
158,linux-master/tools/usb/hcd-tests.sh,GPL-2.0-only,
159,linux-master/tools/usb/.gitignore,GPL-2.0-only,
160,linux-master/tools/usb/ffs-test.c,GPL-2.0-or-later,
161,linux-master/tools/usb/Build,No_license_found,
162,linux-master/tools/usb/usbip/README,No_license_found,
163,linux-master/tools/usb/usbip/Makefile.am,GPL-2.0-only,
164,linux-master/tools/usb/usbip/INSTALL,FSFUL,
165,linux-master/tools/usb/usbip/.gitignore,GPL-2.0-only,
166,linux-master/tools/usb/usbip/COPYING,GPL-2.0-only,
167,linux-master/tools/usb/usbip/configure.ac,No_license_found,
168,linux-master/tools/usb/usbip/cleanup.sh,GPL-2.0-only,
169,linux-master/tools/usb/usbip/autogen.sh,No_license_found,
170,linux-master/tools/usb/usbip/AUTHORS,No_license_found,
171,linux-master/tools/usb/usbip/vudc/vudc_server_example.sh,Unlicense MIT-style,
172,linux-master/tools/usb/usbip/vudc,,
173,linux-master/tools/usb/usbip/src/utils.h,GPL-2.0-or-later,
174,linux-master/tools/usb/usbip/src/utils.c,GPL-2.0-or-later,
175,linux-master/tools/usb/usbip/src/usbip_unbind.c,GPL-2.0-or-later,
176,linux-master/tools/usb/usbip/src/usbip_port.c,GPL-2.0-or-later,
177,linux-master/tools/usb/usbip/src/usbip_network.h,GPL-2.0-only,
178,linux-master/tools/usb/usbip/src/usbip_network.c,GPL-2.0-or-later,
179,linux-master/tools/usb/usbip/src/usbip_list.c,GPL-2.0-or-later,
180,linux-master/tools/usb/usbip/src/usbip.h,GPL-2.0-or-later,
181,linux-master/tools/usb/usbip/src/usbip_detach.c,GPL-2.0-or-later,
182,linux-master/tools/usb/usbip/src/usbipd.c,GPL-2.0-or-later,
183,linux-master/tools/usb/usbip/src/usbip.c,GPL-2.0-or-later,
184,linux-master/tools/usb/usbip/src/usbip_bind.c,GPL-2.0-or-later,
185,linux-master/tools/usb/usbip/src/usbip_attach.c,GPL-2.0-or-later,
186,linux-master/tools/usb/usbip/src/Makefile.am,GPL-2.0-only,
187,linux-master/tools/usb/usbip/src,,
188,linux-master/tools/usb/usbip/libsrc/vhci_driver.h,GPL-2.0-only,
189,linux-master/tools/usb/usbip/libsrc/vhci_driver.c,GPL-2.0-only,
190,linux-master/tools/usb/usbip/libsrc/usbip_host_driver.h,GPL-2.0-or-later,
191,linux-master/tools/usb/usbip/libsrc/usbip_host_driver.c,GPL-2.0-or-later,
192,linux-master/tools/usb/usbip/libsrc/usbip_host_common.h,GPL-2.0-or-later,
193,linux-master/tools/usb/usbip/libsrc/usbip_host_common.c,GPL-2.0-or-later,
194,linux-master/tools/usb/usbip/libsrc/usbip_device_driver.h,GPL-2.0-or-later,
195,linux-master/tools/usb/usbip/libsrc/usbip_device_driver.c,GPL-2.0-or-later,
196,linux-master/tools/usb/usbip/libsrc/usbip_common.h,GPL-2.0-only,
197,linux-master/tools/usb/usbip/libsrc/usbip_common.c,GPL-2.0-only,
198,linux-master/tools/usb/usbip/libsrc/sysfs_utils.h,GPL-2.0-only,
199,linux-master/tools/usb/usbip/libsrc/sysfs_utils.c,GPL-2.0-only,
200,linux-master/tools/usb/usbip/libsrc/names.h,GPL-2.0-or-later,
201,linux-master/tools/usb/usbip/libsrc/names.c,GPL-2.0-or-later,
202,linux-master/tools/usb/usbip/libsrc/Makefile.am,GPL-2.0-only,
203,linux-master/tools/usb/usbip/libsrc/list.h,GPL-2.0-only,
204,linux-master/tools/usb/usbip/libsrc,,
205,linux-master/tools/usb/usbip/doc/usbipd.8,No_license_found,
206,linux-master/tools/usb/usbip/doc/usbip.8,No_license_found,
