"file path","scan results","concluded results"
pytorch-main/WORKSPACE,No_license_found,
pytorch-main/.watchman,No_license_found,
pytorch-main/version.txt,No_license_found,
pytorch-main/ufunc_defs.bzl,No_license_found,
pytorch-main/ubsan.supp,No_license_found,
pytorch-main/setup.py,BSD,
pytorch-main/SECURITY.md,No_license_found,
pytorch-main/requirements.txt,No_license_found,
pytorch-main/requirements-flake8.txt,No_license_found,
pytorch-main/RELEASE.md,No_license_found,
pytorch-main/README.md,BSD-possibility,
pytorch-main/pytest.ini,No_license_found,
pytorch-main/pyproject.toml,No_license_found,
pytorch-main/pt_template_srcs.bzl,No_license_found,
pytorch-main/pt_ops.bzl,No_license_found,
pytorch-main/NOTICE,"Apache-2.0 BSD-3-Clause BSL-1.0",
pytorch-main/mypy-strict.ini,No_license_found,
pytorch-main/mypy-nofollow.ini,No_license_found,
pytorch-main/mypy.ini,No_license_found,
pytorch-main/MANIFEST.in,No_license_found,
pytorch-main/Makefile,No_license_found,
pytorch-main/.lldbinit,No_license_found,
pytorch-main/.lintrunner.toml,No_license_found,
pytorch-main/LICENSE,BSD-3-Clause,
pytorch-main/.isort.cfg,No_license_found,
pytorch-main/GLOSSARY.md,No_license_found,
pytorch-main/.gitmodules,No_license_found,
pytorch-main/.gitignore,No_license_found,
pytorch-main/.git-blame-ignore-revs,No_license_found,
pytorch-main/.gitattributes,No_license_found,
pytorch-main/.gdbinit,No_license_found,
pytorch-main/.flake8,No_license_found,
pytorch-main/docker.Makefile,No_license_found,
pytorch-main/.dockerignore,,
pytorch-main/Dockerfile,No_license_found,
pytorch-main/defs.bzl,No_license_found,
pytorch-main/.coveragerc,No_license_found,
pytorch-main/CONTRIBUTING.md,No_license_found,
pytorch-main/CODEOWNERS,No_license_found,
pytorch-main/CODE_OF_CONDUCT.md,No_license_found,
pytorch-main/CMakeLists.txt,No_license_found,
pytorch-main/.cmakelintrc,No_license_found,
pytorch-main/.clang-tidy,No_license_found,
pytorch-main/.clang-format,No_license_found,
pytorch-main/CITATION.cff,No_license_found,
pytorch-main/c2_test_defs.bzl,No_license_found,
pytorch-main/c2_defs.bzl,No_license_found,
pytorch-main/build_variables.bzl,No_license_found,
pytorch-main/build.bzl,No_license_found,
pytorch-main/BUILD.bazel,No_license_found,
pytorch-main/BUCK.oss,No_license_found,
pytorch-main/.buckconfig.oss,No_license_found,
pytorch-main/buckbuild.bzl,No_license_found,
pytorch-main/.bazelversion,No_license_found,
pytorch-main/.bazelrc,No_license_found,
pytorch-main/.bazelignore,No_license_found,
pytorch-main/aten.bzl,No_license_found,
pytorch-main/.vscode/settings_recommended.json,No_license_found,
pytorch-main/.vscode/extensions.json,No_license_found,
pytorch-main/.vscode,,
pytorch-main/torchgen/yaml_utils.py,No_license_found,
pytorch-main/torchgen/utils.py,No_license_found,
pytorch-main/torchgen/native_function_generation.py,No_license_found,
pytorch-main/torchgen/model.py,No_license_found,
pytorch-main/torchgen/local.py,No_license_found,
pytorch-main/torchgen/__init__.py,No_license_found,
pytorch-main/torchgen/gen_vmap_plumbing.py,No_license_found,
pytorch-main/torchgen/gen.py,No_license_found,
pytorch-main/torchgen/gen_lazy_tensor.py,No_license_found,
pytorch-main/torchgen/gen_functionalization_type.py,No_license_found,
pytorch-main/torchgen/gen_executorch.py,No_license_found,
pytorch-main/torchgen/gen_backend_stubs.py,No_license_found,
pytorch-main/torchgen/context.py,No_license_found,
pytorch-main/torchgen/code_template.py,No_license_found,
pytorch-main/torchgen/build.bzl,No_license_found,
pytorch-main/torchgen/BUILD.bazel,No_license_found,
pytorch-main/torchgen/BUCK.oss,No_license_found,
pytorch-main/torchgen/static_runtime/__init__.py,No_license_found,
pytorch-main/torchgen/static_runtime/gen_static_runtime_ops.py,No_license_found,
pytorch-main/torchgen/static_runtime/generator.py,No_license_found,
pytorch-main/torchgen/static_runtime/config.py,No_license_found,
pytorch-main/torchgen/static_runtime,,
pytorch-main/torchgen/shape_functions/gen_jit_shape_functions.py,No_license_found,
pytorch-main/torchgen/shape_functions,,
pytorch-main/torchgen/selective_build/selector.py,No_license_found,
pytorch-main/torchgen/selective_build/operator.py,No_license_found,
pytorch-main/torchgen/selective_build/__init__.py,No_license_found,
pytorch-main/torchgen/selective_build,,
pytorch-main/torchgen/operator_versions/__init__.py,No_license_found,
pytorch-main/torchgen/operator_versions/gen_mobile_upgraders.py,No_license_found,
pytorch-main/torchgen/operator_versions/gen_mobile_upgraders_constant.py,No_license_found,
pytorch-main/torchgen/operator_versions,,
pytorch-main/torchgen/fuse_attention_patterns/gen_attention_patterns.py,No_license_found,
pytorch-main/torchgen/fuse_attention_patterns,,
pytorch-main/torchgen/executorch/parse.py,No_license_found,
pytorch-main/torchgen/executorch/model.py,No_license_found,
pytorch-main/torchgen/executorch/__init__.py,No_license_found,
pytorch-main/torchgen/executorch/api/unboxing.py,No_license_found,
pytorch-main/torchgen/executorch/api/__init__.py,No_license_found,
pytorch-main/torchgen/executorch/api/et_cpp.py,No_license_found,
pytorch-main/torchgen/executorch/api/custom_ops.py,No_license_found,
pytorch-main/torchgen/executorch/api/types/types.py,No_license_found,
pytorch-main/torchgen/executorch/api/types/signatures.py,No_license_found,
pytorch-main/torchgen/executorch/api/types/__init__.py,No_license_found,
pytorch-main/torchgen/executorch/api/types,,
pytorch-main/torchgen/executorch/api,,
pytorch-main/torchgen/executorch,,
pytorch-main/torchgen/dest/ufunc.py,No_license_found,
pytorch-main/torchgen/dest/register_dispatch_key.py,No_license_found,
pytorch-main/torchgen/dest/native_functions.py,No_license_found,
pytorch-main/torchgen/dest/lazy_ts_lowering.py,No_license_found,
pytorch-main/torchgen/dest/lazy_ir.py,No_license_found,
pytorch-main/torchgen/dest/__init__.py,No_license_found,
pytorch-main/torchgen/dest,,
pytorch-main/torchgen/decompositions/gen_jit_decompositions.py,No_license_found,
pytorch-main/torchgen/decompositions,,
pytorch-main/torchgen/api/unboxing.py,No_license_found,
pytorch-main/torchgen/api/ufunc.py,No_license_found,
pytorch-main/torchgen/api/translate.py,No_license_found,
pytorch-main/torchgen/api/structured.py,No_license_found,
pytorch-main/torchgen/api/python.py,No_license_found,
pytorch-main/torchgen/api/native.py,No_license_found,
pytorch-main/torchgen/api/meta.py,No_license_found,
pytorch-main/torchgen/api/lazy.py,No_license_found,
pytorch-main/torchgen/api/__init__.py,No_license_found,
pytorch-main/torchgen/api/functionalization.py,No_license_found,
pytorch-main/torchgen/api/dispatcher.py,No_license_found,
pytorch-main/torchgen/api/cpp.py,No_license_found,
pytorch-main/torchgen/api/autograd.py,No_license_found,
pytorch-main/torchgen/api/types/types.py,No_license_found,
pytorch-main/torchgen/api/types/types_base.py,No_license_found,
pytorch-main/torchgen/api/types/signatures.py,No_license_found,
pytorch-main/torchgen/api/types/__init__.py,No_license_found,
pytorch-main/torchgen/api/types,,
pytorch-main/torchgen/api,,
pytorch-main/torchgen,,
pytorch-main/torch/_weights_only_unpickler.py,No_license_found,
pytorch-main/torch/_vmap_internals.py,No_license_found,
pytorch-main/torch/_VF.py,No_license_found,
pytorch-main/torch/version.py.tpl,No_license_found,
pytorch-main/torch/_utils.py,No_license_found,
pytorch-main/torch/_utils_internal.py,No_license_found,
pytorch-main/torch/types.py,No_license_found,
pytorch-main/torch/torch_version.py,No_license_found,
pytorch-main/torch/_torch_docs.py,No_license_found,
pytorch-main/torch/_tensor_str.py,No_license_found,
pytorch-main/torch/_tensor.py,No_license_found,
pytorch-main/torch/_tensor_docs.py,No_license_found,
pytorch-main/torch/_streambase.py,No_license_found,
pytorch-main/torch/storage.py,No_license_found,
pytorch-main/torch/_storage_docs.py,No_license_found,
pytorch-main/torch/_sources.py,No_license_found,
pytorch-main/torch/serialization.py,No_license_found,
pytorch-main/torch/script.h,No_license_found,
pytorch-main/torch/return_types.py,No_license_found,
pytorch-main/torch/README.txt,No_license_found,
pytorch-main/torch/random.py,No_license_found,
pytorch-main/torch/quasirandom.py,No_license_found,
pytorch-main/torch/py.typed,No_license_found,
pytorch-main/torch/_python_dispatcher.py,No_license_found,
pytorch-main/torch/overrides.py,Public-domain,
pytorch-main/torch/_ops.py,No_license_found,
pytorch-main/torch/_namedtensor_internals.py,No_license_found,
pytorch-main/torch/_meta_registrations.py,No_license_found,
pytorch-main/torch/_lowrank.py,No_license_found,
pytorch-main/torch/_lobpcg.py,No_license_found,
pytorch-main/torch/_linalg_utils.py,No_license_found,
pytorch-main/torch/library.py,No_license_found,
pytorch-main/torch/library.h,No_license_found,
pytorch-main/torch/_jit_internal.py,No_license_found,
pytorch-main/torch/__init__.py,No_license_found,
pytorch-main/torch/hub.py,No_license_found,
pytorch-main/torch/_guards.py,No_license_found,
pytorch-main/torch/__future__.py,No_license_found,
pytorch-main/torch/functional.py,No_license_found,
pytorch-main/torch/extension.h,No_license_found,
pytorch-main/torch/_deploy.py,No_license_found,
pytorch-main/torch/_custom_ops.py,No_license_found,
pytorch-main/torch/custom_class.h,No_license_found,
pytorch-main/torch/custom_class_detail.h,No_license_found,
pytorch-main/torch/__config__.py,No_license_found,
pytorch-main/torch/_compile.py,No_license_found,
pytorch-main/torch/CMakeLists.txt,No_license_found,
pytorch-main/torch/_classes.py,No_license_found,
pytorch-main/torch/_appdirs.py,MIT,MIT
pytorch-main/torch/abi-check.cpp,No_license_found,
pytorch-main/torch/utils/_zip.py,No_license_found,
pytorch-main/torch/utils/weak.py,No_license_found,
pytorch-main/torch/utils/_triton.py,No_license_found,
pytorch-main/torch/utils/_traceback.py,No_license_found,
pytorch-main/torch/utils/throughput_benchmark.py,No_license_found,
pytorch-main/torch/utils/_stats.py,No_license_found,
pytorch-main/torch/utils/show_pickle.py,No_license_found,
pytorch-main/torch/utils/_pytree.py,No_license_found,
pytorch-main/torch/utils/_python_dispatch.py,No_license_found,
pytorch-main/torch/utils/_mode_utils.py,No_license_found,
pytorch-main/torch/utils/model_zoo.py,No_license_found,
pytorch-main/torch/utils/mobile_optimizer.py,No_license_found,
pytorch-main/torch/utils/mkldnn.py,No_license_found,
